service,date,aircraft,location,lat,lon,target,numweapons,timeon,weapon,weaponweight,missionfunction,numaircraft,unit,timeoff
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.533333,106.55,BRIDGE,0,1800,,0,ARMED RECCE,2,N09676,1800
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.533333,105.283333,BRIDGE,0,1650,,0,ARMED RECCE,2,N09611,1651
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.533333,106.55,BRIDGE,4,1800,1000LB MK-83,985,ARMED RECCE,2,N09676,1800
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.533333,106.55,BRIDGE,4,1800,1000LB MK-83,985,ARMED RECCE,2,N09676,1800
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.533333,105.283333,BRIDGE,3,1650,500LB GP M-64,561,ARMED RECCE,2,N09611,1651
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.55,105.166666,BRIDGE,0,1757,,0,ARMED RECCE,2,N09614,1758
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.55,105.166666,BRIDGE,2,1757,500LB GP M-64,561,ARMED RECCE,2,N09614,1758
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.566666,105.233333,AREA\DEPOT,0,940,,0,STRIKE,1,N09677,942
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.566666,105.233333,AREA\DEPOT,2,940,LAU-10A,132,STRIKE,1,N09677,942
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.566666,105.233333,AREA\DEPOT,2,940,MK-11/MK-12,57,STRIKE,1,N09677,942
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.566666,105.233333,ROAD,0,1320,,0,ARMED RECCE,4,N09676,1320
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.566666,105.416666,ROAD,0,1400,,0,ARMED RECCE,2,N09676,1400
USN,10/8/1965,A-1,CORAL SEA (CVA-43),17.566666,105.683333,ROAD,0,330,,0,ARMED RECCE,4,N09616,340
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.566666,105.416666,ROAD,4,1400,1000LB GP M-65,1104,ARMED RECCE,2,N09676,1400
USN,10/8/1965,A-1,CORAL SEA (CVA-43),17.566666,105.683333,ROAD,10,330,LAU-3A/AERO7,342,ARMED RECCE,4,N09616,340
USN,10/8/1965,A-1,CORAL SEA (CVA-43),17.566666,105.683333,ROAD,6,330,MK-24,25,ARMED RECCE,4,N09616,340
USN,10/8/1965,A-1,CORAL SEA (CVA-43),17.566666,105.683333,ROAD,14,330,250LB M-57,272,ARMED RECCE,4,N09616,340
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.566666,105.233333,ROAD,15,1320,250LB M-57,272,ARMED RECCE,4,N09676,1320
USN,10/8/1965,A-1,CORAL SEA (CVA-43),17.566666,105.683333,ROAD,4,330,500LB GP M-64,561,ARMED RECCE,4,N09616,340
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.583333,105.516666,FORD,0,1804,,0,ARMED RECCE,2,N09614,1805
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.583333,105.516666,FORD,2,1804,500LB GP M-64,561,ARMED RECCE,2,N09614,1805
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.616666,105.733333,ROAD,0,1813,,0,ARMED RECCE,2,N09614,1814
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.616666,105.533333,AREA\DEPOT,0,1810,,0,ARMED RECCE,2,N09676,1810
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.616666,106.45,AREA\DEPOT,0,1810,,0,ARMED RECCE,2,N09676,1810
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.616666,106.45,AREA\DEPOT,8,1810,250LB M-57,272,ARMED RECCE,2,N09676,1810
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.616666,105.533333,AREA\DEPOT,8,1810,250LB M-57,272,ARMED RECCE,2,N09676,1810
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.616666,105.733333,ROAD,4,1813,500LB GP M-64,561,ARMED RECCE,2,N09614,1814
USN,10/8/1965,A-1,ORISKANY (CVA-34),17.633333,106.366666,FORD,0,2235,,0,ARMED RECCE,2,N09676,2250
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.633333,106.083333,AREA\DEPOT,0,700,,0,ARMED RECCE,2,N09677,710
